time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-19T19:51:53.000Z,62.079,-145.5605,22,1.7,ml,,,,0.62,ak,ak11532231,2015-03-19T20:25:00.711Z,"3km SSW of Glennallen, Alaska",earthquake
2015-03-19T19:45:39.770Z,34.3385,-118.2533333,27.22,1.78,ml,16,79,0.176,0.4,ci,ci37343200,2015-03-19T19:49:53.278Z,"10km NNE of Sunland, California",earthquake
2015-03-19T19:31:21.500Z,38.7581673,-122.7373352,2.49,1.4,md,18,153,0.007822,0.04,nc,nc72414000,2015-03-19T19:58:07.709Z,"2km SE of The Geysers, California",earthquake
2015-03-19T19:23:36.600Z,40.175,-121.057,3.31,1.53,md,15,112,0.1857,0.08,nc,nc72413995,2015-03-19T20:50:05.851Z,"9km WNW of Greenville, California",earthquake
2015-03-19T19:22:23.820Z,38.8095,-122.8293333,3.42,0.29,md,11,92,0.0006426,0.04,nc,nc72414010,2015-03-19T21:06:04.967Z,"7km WNW of The Geysers, California",earthquake
2015-03-19T18:48:39.140Z,38.7939987,-122.803833,3.71,0.68,md,12,55,0.005696,0.02,nc,nc72413985,2015-03-19T18:50:14.740Z,"4km WNW of The Geysers, California",earthquake
2015-03-19T18:48:07.410Z,38.793499,-122.8043365,3.51,1.54,md,31,60,0.005259,0.03,nc,nc72413980,2015-03-19T19:44:04.670Z,"4km WNW of The Geysers, California",earthquake
2015-03-19T18:26:05.540Z,-28.5175,-174.72,12.72,4.8,mb,,116,2.906,0.64,us,us10001nwf,2015-03-19T20:39:04.981Z,"Kermadec Islands region",earthquake
2015-03-19T18:03:11.390Z,33.8171667,-117.4786667,1.1,1.43,ml,30,53,0.02803,0.34,ci,ci37343136,2015-03-19T18:07:24.608Z,"8km SSE of Home Gardens, California",earthquake
2015-03-19T18:02:17.550Z,38.8193321,-122.7816696,1.58,1.36,md,23,39,0.01442,0.03,nc,nc72413965,2015-03-19T18:26:04.462Z,"5km W of Cobb, California",earthquake
2015-03-19T18:00:21.320Z,38.7929993,-122.8046646,3.65,1.6,md,37,39,0.00483,0.03,nc,nc72413960,2015-03-19T18:16:05.447Z,"4km WNW of The Geysers, California",earthquake
2015-03-19T17:30:45.550Z,38.8293343,-122.7955017,2.17,0.41,md,8,67,0.009917,0.03,nc,nc72413955,2015-03-19T17:46:07.360Z,"6km W of Cobb, California",earthquake
2015-03-19T17:20:13.600Z,37.4725,-118.8171667,5.91,1.09,md,28,117,0.07747,0.04,nc,nc72413945,2015-03-19T20:37:05.808Z,"23km SE of Mammoth Lakes, California",earthquake
2015-03-19T17:12:14.000Z,60.6474,-140.7987,0,1.9,ml,,,,0.68,ak,ak11532162,2015-03-19T17:28:45.279Z,"110km NE of Cape Yakataga, Alaska",earthquake
2015-03-19T17:11:04.380Z,46.315,-122.5315,0.01,0.5,md,14,218,0.1317,0.1,uw,uw60986331,2015-03-19T20:59:40.100Z,"29km E of Castle Rock, Washington",explosion
2015-03-19T16:40:19.050Z,38.8289986,-122.8651657,1.43,0.81,md,10,160,0.017,0.02,nc,nc72413930,2015-03-19T17:05:07.313Z,"11km WNW of The Geysers, California",earthquake
2015-03-19T16:13:05.000Z,62.7811,-148.629,57.2,0.4,ml,,,,0.74,ak,ak11532149,2015-03-19T16:36:50.054Z,"69km SSE of Cantwell, Alaska",earthquake
2015-03-19T16:05:40.210Z,38.7883339,-122.7631683,2.17,0.38,md,10,114,0.0177,0.02,nc,nc72413915,2015-03-19T18:07:06.428Z,"1km NNW of The Geysers, California",earthquake
2015-03-19T16:05:32.210Z,39.5633333,-121.5561667,0.01,1.86,md,10,150,0.04403,0.08,nc,nc72413910,2015-03-19T20:58:24.220Z,"5km N of Oroville, California",quarry blast
2015-03-19T15:59:40.374Z,41.8668,-119.6328,8.2536,1.12,ml,5,222.18,0.149,0.1186,nn,nn00487402,2015-03-19T18:28:24.716Z,"69km ESE of Lakeview, Oregon",earthquake
2015-03-19T15:54:42.000Z,61.1666,-152.1719,11.3,1.7,ml,,,,0.45,ak,ak11532118,2015-03-19T16:16:30.015Z,"71km NW of Nikiski, Alaska",earthquake
2015-03-19T15:54:22.830Z,38.8214989,-122.7826691,2.07,0.53,md,9,84,0.008373,0.02,nc,nc72413900,2015-03-19T17:15:06.269Z,"5km W of Cobb, California",earthquake
2015-03-19T15:52:56.506Z,41.8933,-119.642,11.4839,2.36,ml,5,122.53,0.128,0.1224,nn,nn00487390,2015-03-19T20:55:30.120Z,"71km ESE of Lakeview, Oregon",earthquake
2015-03-19T15:52:15.940Z,33.9966667,-116.66,19.02,0.99,ml,24,80,0.04293,0.14,ci,ci37343008,2015-03-19T21:26:54.317Z,"9km SW of Morongo Valley, California",earthquake
2015-03-19T15:47:52.000Z,62.5498,-149.7789,60.3,1.8,ml,,,,0.63,ak,ak11532115,2015-03-19T16:16:25.841Z,"30km NE of Talkeetna, Alaska",earthquake
2015-03-19T15:27:14.765Z,41.8612,-119.6305,7.7467,1.39,ml,5,223.13,0.154,0.1311,nn,nn00487401,2015-03-19T18:25:12.367Z,"69km ESE of Lakeview, Oregon",earthquake
2015-03-19T15:25:48.725Z,41.8494,-119.67,6.9743,0.82,ml,4,224.32,0.141,0.0596,nn,nn00487399,2015-03-19T18:09:32.251Z,"67km SE of Lakeview, Oregon",earthquake
2015-03-19T14:43:23.640Z,44.8891667,-125.9745,0,2.15,md,18,269,0.5556,1.73,uw,uw60986306,2015-03-19T16:31:18.520Z,"151km W of Depoe Bay, Oregon",earthquake
2015-03-19T14:38:28.000Z,62.5743,-149.0725,46,1.2,ml,,,,0.57,ak,ak11532114,2015-03-19T16:57:11.906Z,"60km ENE of Talkeetna, Alaska",earthquake
2015-03-19T14:24:39.000Z,63.2389,-151.2201,4.1,2.4,ml,,,,0.78,ak,ak11532109,2015-03-19T14:38:48.680Z,"115km W of Cantwell, Alaska",earthquake
2015-03-19T14:23:12.520Z,33.4196667,-116.6145,4.88,0.07,ml,11,148,0.07554,0.07,ci,ci37342912,2015-03-19T21:21:46.061Z,"15km N of Warner Springs, California",earthquake
2015-03-19T14:20:06.150Z,38.8191681,-122.8195038,2.49,0.69,md,10,87,0.00849,0.02,nc,nc72413890,2015-03-19T16:50:04.704Z,"7km NW of The Geysers, California",earthquake
2015-03-19T14:10:47.637Z,41.8746,-119.6836,2.3295,0.77,ml,5,219.8,0.116,0.154,nn,nn00487400,2015-03-19T18:15:50.493Z,"64km ESE of Lakeview, Oregon",earthquake
2015-03-19T13:49:23.870Z,45.3456667,-121.685,6.03,0.39,md,6,143,0.0194,0.05,uw,uw60986296,2015-03-19T17:24:18.740Z,"23km E of Mount Hood Village, Oregon",earthquake
2015-03-19T13:14:09.649Z,37.0809,-117.1224,10.3242,1.24,ml,13,138.33,0.123,0.0898,nn,nn00487383,2015-03-19T14:18:30.081Z,"37km WNW of Beatty, Nevada",earthquake
2015-03-19T12:52:15.151Z,39.6351,-120.6939,11.6556,0.09,ml,8,195.47,0.023,0.2006,nn,nn00487387,2015-03-19T13:59:17.033Z,"14km NE of Downieville, California",earthquake
2015-03-19T12:51:19.000Z,60.2599,-140.5584,0.2,1.7,ml,,,,0.42,ak,ak11532079,2015-03-19T13:05:03.037Z,"92km NNW of Yakutat, Alaska",earthquake
2015-03-19T12:35:14.000Z,65.0588,-149.0066,7.2,1.4,ml,,,,0.79,ak,ak11532077,2015-03-19T13:05:02.475Z,"52km WNW of Ester, Alaska",earthquake
2015-03-19T12:31:39.620Z,38.8216667,-122.8161697,2.65,0.43,md,9,114,0.005065,0.02,nc,nc72413840,2015-03-19T14:40:17.403Z,"7km NW of The Geysers, California",earthquake
2015-03-19T12:09:04.190Z,33.2935,-116.7473333,12.58,1.83,ml,62,40,0.05816,0.2,ci,ci37342840,2015-03-19T21:16:27.080Z,"6km NNE of Lake Henshaw, California",earthquake
2015-03-19T12:08:57.260Z,33.4865,-116.4965,15.75,1.38,ml,23,95,0.06967,0.15,ci,ci37342832,2015-03-19T21:04:14.750Z,"18km ESE of Anza, California",earthquake
2015-03-19T12:03:06.000Z,65.0645,-149.1065,2.7,1.3,ml,,,,0.47,ak,ak11532073,2015-03-19T12:29:40.164Z,"54km N of North Nenana, Alaska",earthquake
2015-03-19T11:59:03.690Z,33.9338333,-116.0308333,4.57,0.98,ml,20,130,0.07191,0.13,ci,ci37342824,2015-03-19T20:58:49.018Z,"23km S of Twentynine Palms, California",earthquake
2015-03-19T11:52:00.570Z,-3.2659,-80.5396,58.01,5,mb,,117,4.058,1.06,us,us10001ntk,2015-03-19T18:55:01.093Z,"35km NNW of Tumbes, Peru",earthquake
2015-03-19T11:26:17.700Z,18.7264,-65.181,52,2.8,Md,3,316.8,0.42669976,0.09,pr,pr15078005,2015-03-19T19:28:45.645Z,"48km NNE of Culebra, Puerto Rico",earthquake
2015-03-19T11:22:55.570Z,38.8349991,-122.8000031,2.89,1.13,md,18,61,0.014,0.03,nc,nc72413820,2015-03-19T12:59:04.218Z,"6km WNW of Cobb, California",earthquake
2015-03-19T11:07:35.690Z,33.9871667,-116.9883333,19.35,0.78,ml,24,124,0.07349,0.15,ci,ci37342808,2015-03-19T20:55:44.884Z,"6km E of Calimesa, California",earthquake
2015-03-19T11:04:41.380Z,38.7926674,-122.7639999,2.52,0.84,md,13,87,0.02196,0.02,nc,nc72413815,2015-03-19T12:33:07.167Z,"1km NNW of The Geysers, California",earthquake
2015-03-19T10:52:56.000Z,60.9668,-150.9614,24.1,1.8,ml,,,,0.81,ak,ak11532044,2015-03-19T11:19:02.006Z,"35km NNE of Nikiski, Alaska",earthquake
2015-03-19T10:41:01.620Z,33.4696667,-116.5733333,9.21,0.94,ml,33,77,0.03472,0.19,ci,ci37342800,2015-03-19T20:47:50.858Z,"13km SE of Anza, California",earthquake
2015-03-19T10:40:23.790Z,34.0341667,-117.2573333,10.14,0.71,ml,25,85,0.07414,0.16,ci,ci37342792,2015-03-19T19:20:16.735Z,"2km SSE of Loma Linda, California",earthquake
2015-03-19T10:14:32.480Z,34.1596667,-117.4491667,7.31,0.71,ml,28,60,0.06375,0.12,ci,ci37342784,2015-03-19T19:03:01.862Z,"7km N of Fontana, California",earthquake
2015-03-19T10:11:41.520Z,38.766,-122.7425,3.64,0.53,md,17,98,0.01335,0.07,nc,nc72413810,2015-03-19T19:05:06.561Z,"1km SE of The Geysers, California",earthquake
2015-03-19T10:05:59.940Z,1.9328,126.4515,36.33,5.4,mb,,97,1.472,1.47,us,us10001ns0,2015-03-19T10:20:27.823Z,"151km ENE of Bitung, Indonesia",earthquake
2015-03-19T09:59:27.810Z,33.1375,-116.52,16.15,0.75,ml,31,58,0.0861,0.15,ci,ci37342776,2015-03-19T18:55:08.729Z,"10km NE of Julian, California",earthquake
2015-03-19T09:58:35.990Z,35.4895,-92.2681667,3.58,2.4,md,8,94,0.09681,0.22,nm,nm60005808,2015-03-19T18:01:09.256Z,"11km S of Fairfield Bay, Arkansas",earthquake
2015-03-19T09:36:00.475Z,39.784,-120.4118,2.7581,1.12,ml,15,61.62,0.092,0.1968,nn,nn00487380,2015-03-19T13:55:45.690Z,"5km ESE of Portola, California",earthquake
2015-03-19T09:30:18.450Z,37.4486667,-118.914,5.01,0.53,md,7,227,0.1564,0.27,nc,nc72413795,2015-03-19T18:54:32.810Z,"22km SSE of Mammoth Lakes, California",earthquake
2015-03-19T09:28:57.430Z,37.6233333,-118.8715,9.7,1.89,md,27,87,0.008052,0.03,nc,nc72413790,2015-03-19T19:33:06.654Z,"9km ESE of Mammoth Lakes, California",earthquake
2015-03-19T09:25:33.420Z,33.5545,-116.6431667,3.92,0.59,ml,20,94,0.01607,0.15,ci,ci37342768,2015-03-19T18:46:30.053Z,"3km E of Anza, California",earthquake
2015-03-19T09:22:08.330Z,33.4716667,-116.5678333,8.45,0.47,ml,26,78,0.03678,0.14,ci,ci37342760,2015-03-19T18:39:53.177Z,"14km SE of Anza, California",earthquake
2015-03-19T08:59:35.870Z,33.4721667,-116.5681667,8.58,0.33,ml,18,106,0.03625,0.1,ci,ci37342752,2015-03-19T18:33:00.019Z,"13km SE of Anza, California",earthquake
2015-03-19T08:57:05.970Z,36.6453,-97.855,3.89,2.8,mb_lg,,45,0.174,0.39,us,us10001nrq,2015-03-19T17:04:00.667Z,"20km SSW of Medford, Oklahoma",earthquake
2015-03-19T08:49:33.340Z,41.493,-112.6305,2.5,1.42,ml,21,132,0.195,0.08,uu,uu60104927,2015-03-19T19:26:15.400Z,"45km WSW of Tremonton, Utah",earthquake
2015-03-19T08:45:17.690Z,34.0378333,-117.2503333,17.03,1.92,ml,84,29,0.0726,0.16,ci,ci37342744,2015-03-19T17:49:24.672Z,"2km SE of Loma Linda, California",earthquake
2015-03-19T08:41:45.370Z,34.6188333,-118.2525,9.17,1.72,ml,16,76,0.0307,0.37,ci,ci37342728,2015-03-19T08:46:15.325Z,"3km E of Leona Valley, California",earthquake
2015-03-19T08:41:35.470Z,36.148,-117.374,5.9,0.84,ml,10,179.62,0.416,,nn,nn00487377,2015-03-19T08:43:32.203Z,"42km N of Searles Valley, California",earthquake
2015-03-19T08:37:17.000Z,61.9118,-149.6219,37.2,1.5,ml,,,,0.29,ak,ak11531990,2015-03-19T08:53:48.483Z,"27km NW of Fishhook, Alaska",earthquake
2015-03-19T08:34:17.330Z,-36.054,-73.7848,6.47,5.1,mb,,107,0.997,1.29,us,us10001nrg,2015-03-19T16:36:57.739Z,"94km NW of Talcahuano, Chile",earthquake
2015-03-19T08:29:43.600Z,19.5125,-65.9953,44,3.4,Md,13,288,1.1462503,0.47,pr,pr15078004,2015-03-19T16:32:14.995Z,"116km N of San Juan, Puerto Rico",earthquake
2015-03-19T08:27:35.700Z,19.2902,-155.388,3.4,1.2,Md,,97.2,0.04491576,0.1,hv,hv60875651,2015-03-19T18:26:22.477Z,"13km NE of Pahala, Hawaii",earthquake
2015-03-19T08:14:37.000Z,62.3494,-148.2874,25.6,2,ml,,,,0.76,ak,ak11531986,2015-03-19T08:37:09.866Z,"68km NNE of Sutton-Alpine, Alaska",earthquake
2015-03-19T08:05:51.000Z,61.8623,-148.9789,22.5,0.8,ml,,,,0.45,ak,ak11531985,2015-03-19T16:57:15.980Z,"9km NW of Sutton-Alpine, Alaska",earthquake
2015-03-19T08:04:09.000Z,61.8367,-146.7605,20.3,1.3,ml,,,,0.48,ak,ak11531983,2015-03-19T08:37:07.743Z,"70km WSW of Glennallen, Alaska",earthquake
2015-03-19T07:50:01.000Z,61.5023,-146.4779,16.1,2.2,ml,,,,0.88,ak,ak11531979,2015-03-19T08:18:34.066Z,"41km N of Valdez, Alaska",earthquake
2015-03-19T07:47:19.480Z,-28.802,74.1566,10,4.9,mb,,98,20.743,0.97,us,us10001nrb,2015-03-19T15:50:11.098Z,"Mid-Indian Ridge",earthquake
2015-03-19T07:40:20.526Z,39.3942,-119.8843,5.4321,0.38,ml,12,67.5,0.093,0.1517,nn,nn00487386,2015-03-19T13:52:10.786Z,"13km SSE of Mogul, Nevada",earthquake
2015-03-19T07:36:45.330Z,36.0618333,-117.5976667,2.2,0.87,ml,19,69,0.08813,0.13,ci,ci37342712,2015-03-19T17:05:04.167Z,"31km ENE of Little Lake, California",earthquake
2015-03-19T07:31:19.150Z,38.8074989,-122.8166656,3.12,0.68,md,15,129,0.009871,0.02,nc,nc72413745,2015-03-19T07:57:06.622Z,"6km WNW of The Geysers, California",earthquake
2015-03-19T07:30:07.760Z,38.8083344,-122.8130035,2.74,1.57,md,26,52,0.01265,0.03,nc,nc72413740,2015-03-19T10:00:05.854Z,"6km NW of The Geysers, California",earthquake
2015-03-19T07:22:13.680Z,34.0853333,-117.3046667,16.75,0.98,ml,30,65,0.1088,0.17,ci,ci37342696,2015-03-19T16:55:54.341Z,"2km NNE of Colton, California",earthquake
2015-03-19T06:55:19.000Z,33.6945,-116.738,17.76,0.41,ml,18,106,0.02591,0.09,ci,ci37342688,2015-03-19T16:50:01.951Z,"5km SSW of Idyllwild, California",earthquake
2015-03-19T06:51:37.000Z,63.1446,-149.8561,98.1,1.5,ml,,,,0.25,ak,ak11531973,2015-03-19T07:14:16.021Z,"53km WSW of Cantwell, Alaska",earthquake
2015-03-19T06:31:30.000Z,62.9006,-150.3243,73.6,1.5,ml,,,,0.51,ak,ak11531956,2015-03-19T06:57:23.276Z,"65km N of Talkeetna, Alaska",earthquake
2015-03-19T06:23:44.200Z,3.3157,122.3647,585.42,4.5,mb,,114,4.276,0.66,us,us10001nqx,2015-03-19T14:26:24.788Z,"259km NNE of Kali, Indonesia",earthquake
2015-03-19T06:15:17.000Z,63.4051,-145.1189,29,1.7,ml,,,,1.82,ak,ak11531954,2015-03-19T06:40:19.928Z,"52km S of Deltana, Alaska",earthquake
2015-03-19T06:11:51.000Z,60.6963,-146.5178,19.7,1.4,ml,,,,0.61,ak,ak11531952,2015-03-19T06:40:18.990Z,"45km WNW of Cordova, Alaska",earthquake
2015-03-19T06:02:26.300Z,19.4855,-66.068,101,3.4,Md,10,288,1.2226071,0.3,pr,pr15078001,2015-03-19T14:05:01.478Z,"112km N of San Juan, Puerto Rico",earthquake
2015-03-19T05:50:49.790Z,37.139,-117.274,16.51,0.55,ml,6,166.52,0.246,,nn,nn00487375,2015-03-19T05:52:19.418Z,"52km WNW of Beatty, Nevada",earthquake
2015-03-19T05:45:46.260Z,38.8088341,-122.8126678,2.51,1.58,md,36,51,0.0129,0.03,nc,nc72413700,2015-03-19T08:19:03.670Z,"6km NW of The Geysers, California",earthquake
2015-03-19T05:36:27.000Z,63.2071,-150.7196,133.5,2.1,ml,,,,0.38,ak,ak11531946,2015-03-19T05:53:10.457Z,"91km WSW of Cantwell, Alaska",earthquake
2015-03-19T05:27:25.020Z,38.836834,-122.8003311,2.24,1.12,md,18,60,0.01817,0.05,nc,nc72413695,2015-03-19T07:54:04.620Z,"6km WNW of Cobb, California",earthquake
2015-03-19T05:26:59.250Z,34.1593333,-117.4481667,8.61,1.08,ml,34,56,0.06456,0.18,ci,ci37342656,2015-03-19T16:46:02.420Z,"7km N of Fontana, California",earthquake
2015-03-19T05:22:28.570Z,33.4693333,-116.5641667,8.38,0.47,ml,16,107,0.04063,0.09,ci,ci37342648,2015-03-19T16:38:03.043Z,"14km SE of Anza, California",earthquake
2015-03-19T05:18:03.450Z,46.8436667,-121.7318333,0.04,0.18,md,8,112,0.008068,0.09,uw,uw60986271,2015-03-19T17:25:53.060Z,"26km N of Packwood, Washington",earthquake
2015-03-19T05:17:04.000Z,52.2198,-169.9294,32.1,3,ml,,,,0.67,ak,ak11531939,2015-03-19T17:03:56.281Z,"69km SE of Yunaska Island, Alaska",earthquake
2015-03-19T05:15:04.700Z,41.8785,-119.6301,8.8431,0.82,ml,5,220.33,0.144,0.095,nn,nn00487385,2015-03-19T18:31:37.816Z,"68km ESE of Lakeview, Oregon",earthquake
2015-03-19T05:10:00.000Z,59.9422,-152.3374,74.4,1.6,ml,,,,0.38,ak,ak11531925,2015-03-19T16:57:11.280Z,"33km WNW of Anchor Point, Alaska",earthquake
2015-03-19T04:54:30.300Z,18.815,-64.737,50,3.1,Md,5,342,0.7231438,0.03,pr,pr15078003,2015-03-19T12:57:11.672Z,"45km NNW of Road Town, British Virgin Islands",earthquake
2015-03-19T04:50:51.000Z,63.5779,-151.0624,10.1,0.8,ml,,,,0.66,ak,ak11531924,2015-03-19T16:57:10.006Z,"107km WNW of Cantwell, Alaska",earthquake
2015-03-19T04:45:34.000Z,53.8589,-166.8167,4.8,1.3,ml,,,,0.36,ak,ak11531923,2015-03-19T16:36:52.483Z,"18km W of Unalaska, Alaska",earthquake
2015-03-19T04:39:48.510Z,37.4618333,-118.6151667,8.47,1.06,md,23,101,0.08857,0.04,nc,nc72413685,2015-03-19T20:54:05.858Z,"18km NW of West Bishop, California",earthquake
2015-03-19T04:28:40.000Z,63.1437,-150.6813,129,1.9,ml,,,,0.53,ak,ak11531918,2015-03-19T04:44:58.245Z,"91km WSW of Cantwell, Alaska",earthquake
2015-03-19T04:08:49.670Z,33.2258333,-116.0733333,13.28,1.1,ml,30,76,0.09112,0.17,ci,ci37342632,2015-03-19T16:34:57.868Z,"11km NNE of Ocotillo Wells, California",earthquake
2015-03-19T04:03:36.870Z,33.525,-116.735,3.84,0.84,ml,33,29,0.04034,0.13,ci,ci37342624,2015-03-19T16:22:16.546Z,"7km WSW of Anza, California",earthquake
2015-03-19T03:49:21.240Z,-55.3665,-28.2943,10.82,5,mb,,94,4.86,0.89,us,us10001nq6,2015-03-19T11:52:01.819Z,"163km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-03-19T03:42:23.000Z,65.1435,-149.0879,10.7,1,ml,,,,0.35,ak,ak11531911,2015-03-19T04:10:18.732Z,"60km WNW of Ester, Alaska",earthquake
2015-03-19T03:41:54.450Z,37.5968333,-113.6423333,0.74,1.54,ml,12,89,0.217,0.18,uu,uu60104907,2015-03-19T20:58:12.250Z,"7km ENE of Enterprise, Utah",earthquake
2015-03-19T03:32:12.830Z,33.4683333,-116.5756667,9.02,1.7,ml,61,52,0.0344,0.17,ci,ci37342616,2015-03-19T16:07:29.730Z,"13km SE of Anza, California",earthquake
2015-03-19T03:28:13.480Z,38.8166656,-122.8180008,2.9,0.89,md,16,71,0.009138,0.02,nc,nc72413675,2015-03-19T03:43:05.160Z,"6km NW of The Geysers, California",earthquake
2015-03-19T03:16:51.630Z,36.0545,-117.6016667,1.56,1.24,ml,20,69,0.09135,0.16,ci,ci37342584,2015-03-19T15:54:19.943Z,"30km ENE of Little Lake, California",earthquake
2015-03-19T03:16:37.000Z,61.3357,-149.9475,18,2.7,ml,,,,0.83,ak,ak11531891,2015-03-19T11:19:34.394Z,"13km N of Anchorage, Alaska",earthquake
2015-03-19T03:15:26.030Z,53.5108,161.8711,40.01,5.2,mb,,139,1.995,0.9,us,us10001nq0,2015-03-19T11:17:57.999Z,"221km ENE of Petropavlovsk-Kamchatskiy, Russia",earthquake
2015-03-19T03:06:50.700Z,19.5767,-66.1511,79,3.2,Md,6,298.8,1.34837124,0.46,pr,pr15078002,2015-03-19T11:09:20.563Z,"123km N of San Juan, Puerto Rico",earthquake
2015-03-19T03:06:29.800Z,34.5513333,-116.2491667,3.29,0.96,ml,9,100,0.154,0.12,ci,ci37342576,2015-03-19T15:49:44.341Z,"21km SSW of Ludlow, California",earthquake
2015-03-19T03:05:14.933Z,39.7702,-119.852,14.4017,0.25,ml,9,92.5,0.176,0.1243,nn,nn00487372,2015-03-19T04:31:14.057Z,"14km NE of Cold Springs, Nevada",earthquake
2015-03-19T03:03:33.667Z,39.7707,-119.8507,13.8847,0.25,ml,7,82.52,0.175,0.0626,nn,nn00487371,2015-03-19T04:30:55.447Z,"14km NE of Cold Springs, Nevada",earthquake
2015-03-19T02:57:47.000Z,53.8491,-166.8018,4.8,1.7,ml,,,,0.41,ak,ak11531884,2015-03-19T16:36:51.542Z,"17km WSW of Dutch Harbor, Alaska",earthquake
2015-03-19T02:51:54.110Z,35.4933333,-118.299,3.17,1.28,ml,26,71,0.1364,0.15,ci,ci37342568,2015-03-19T15:47:01.490Z,"20km ESE of Bodfish, California",earthquake
2015-03-19T02:47:51.970Z,41.3456667,-122.1511667,6.24,1.01,md,6,163,0.02981,0.02,nc,nc72413665,2015-03-19T17:16:16.875Z,"10km N of McCloud, California",earthquake
2015-03-19T02:45:35.730Z,36.0566667,-117.6008333,1.11,0.93,ml,20,107,0.09062,0.17,ci,ci37342560,2015-03-19T15:42:49.142Z,"31km ENE of Little Lake, California",earthquake
2015-03-19T02:10:59.680Z,40.4466667,-124.6541667,18.53,2.93,md,54,234,0.2433,0.13,nc,nc72413660,2015-03-19T21:07:04.883Z,"36km WSW of Ferndale, California",earthquake
2015-03-19T01:43:39.000Z,61.61,-148.0414,26.9,1.9,ml,,,,0.72,ak,ak11531870,2015-03-19T02:25:31.322Z,"47km ESE of Sutton-Alpine, Alaska",earthquake
2015-03-19T01:34:10.530Z,33.4728333,-116.5723333,8.96,0.34,ml,21,108,0.03315,0.1,ci,ci37342504,2015-03-19T15:37:58.438Z,"13km SE of Anza, California",earthquake
2015-03-19T01:33:54.790Z,38.588,141.7864,48.89,4.9,mb,,134,1.063,0.73,us,us10001np2,2015-03-19T09:36:34.408Z,"46km ENE of Ishinomaki, Japan",earthquake
2015-03-19T01:33:09.180Z,-36.1135,-73.458,24.99,4.9,mb,,116,0.807,1,us,us10001np8,2015-03-19T14:22:40.000Z,"72km NW of Tome, Chile",earthquake
2015-03-19T01:31:30.000Z,65.1953,-149.0306,15.4,2.3,ml,26,50.3999959680003,0.1455271,0.43,ak,ak11531867,2015-03-19T02:23:44.677Z,"61km NW of Ester, Alaska",earthquake
2015-03-19T01:30:26.220Z,39.5503,-119.9603,12.3957,0.58,ml,13,66.75,0.057,0.1486,nn,nn00487358,2015-03-19T01:46:18.031Z,"4km NE of Verdi, Nevada",earthquake
2015-03-19T01:29:20.675Z,39.8102,-120.6492,6.8577,1.28,ml,15,105.49,0.108,0.1382,nn,nn00487357,2015-03-19T01:42:56.805Z,"15km W of Portola, California",earthquake
2015-03-19T01:25:39.000Z,63.4192,-147.177,24.3,1.4,ml,10,208.799983296001,0.5919898,0.54,ak,ak11531865,2015-03-19T02:23:46.568Z,"88km E of Cantwell, Alaska",earthquake
